method,imp_id,syn_id,cosine_mean,js_mean,wasserstein_mean,ds_idx
ctgan,1.0,1.0,0.12396871852785407,0.03690072799024206,0.07647819699200988,1
ctgan,1.0,2.0,0.12303799742365214,0.036885296541590576,0.07750974227144036,2
ctgan,1.0,3.0,0.1233454515565715,0.03691168505814522,0.07989109560881695,3
ctgan,1.0,4.0,0.12707577734678338,0.037297809622805995,0.0809073303189576,4
ctgan,1.0,5.0,0.12209219774072697,0.036728933549368424,0.07813148964894108,5
ctgan,1.0,6.0,0.12475762352490694,0.03704162791309592,0.08125794833883929,6
ctgan,1.0,7.0,0.12181766931152489,0.03666877161825145,0.08073680962276493,7
ctgan,1.0,8.0,0.12415790392105312,0.03693973899460295,0.07227383759115888,8
ctgan,1.0,9.0,0.12234959149135019,0.03672211983030995,0.07995369828434691,9
ctgan,1.0,10.0,0.12381140687290912,0.036547286259179926,0.07893720629136083,10
ctgan,2.0,1.0,0.11360315177524716,0.03519504714077691,0.07634833802705293,11
ctgan,2.0,2.0,0.11247843337592578,0.03493606442319783,0.06659493969525185,12
ctgan,2.0,3.0,0.11156719640434243,0.03484258278961688,0.06425001409066253,13
ctgan,2.0,4.0,0.11364662101922059,0.03524402528557153,0.07311853831631235,14
ctgan,2.0,5.0,0.11564594101801876,0.03533126862991463,0.06633997675799172,15
ctgan,2.0,6.0,0.11313898175285571,0.0355261030538694,0.0647284323440387,16
ctgan,2.0,7.0,0.1102445950244965,0.03516901065796346,0.06898914091703344,17
ctgan,2.0,8.0,0.11532212478595842,0.035460703833681065,0.0675268670874958,18
ctgan,2.0,9.0,0.11281431335766834,0.035135348173219186,0.0707557148590465,19
ctgan,2.0,10.0,0.11307479945899328,0.0358879792582001,0.07183838432097558,20
ctgan,3.0,1.0,0.11223282649077297,0.035865814328944576,0.07051897917330333,21
ctgan,3.0,2.0,0.1101239778491333,0.036173072479864524,0.07601977820223202,22
ctgan,3.0,3.0,0.11097598651440654,0.036234788390582126,0.07388355593949726,23
ctgan,3.0,4.0,0.11344476534505643,0.03584403353236093,0.06926416229614957,24
ctgan,3.0,5.0,0.11513285416145289,0.03610090252784756,0.07370032715393457,25
ctgan,3.0,6.0,0.11382029249949104,0.03563632990840773,0.07160598075924236,26
ctgan,3.0,7.0,0.11356423559056894,0.035898984386786806,0.07012053519286068,27
ctgan,3.0,8.0,0.11300772217448847,0.03599243464714765,0.07681937040390574,28
ctgan,3.0,9.0,0.11261442830642558,0.03590043769226875,0.07704701289498024,29
ctgan,3.0,10.0,0.11239697118601122,0.03593487673370989,0.07229423683452016,30
ctgan,4.0,1.0,0.11127133188233104,0.03617782867896272,0.07556360758107794,31
ctgan,4.0,2.0,0.10902194008216241,0.03603351415142368,0.07347868726249333,32
ctgan,4.0,3.0,0.10993485407811507,0.036218235689987964,0.07404425676906459,33
ctgan,4.0,4.0,0.11029568655989339,0.03614364518309178,0.07758084066285499,34
ctgan,4.0,5.0,0.1105553340876932,0.036710551466469024,0.07607765534547303,35
ctgan,4.0,6.0,0.11141412138373566,0.036228807524508626,0.0757133917181316,36
ctgan,4.0,7.0,0.11235395849929501,0.03678099836710367,0.06958402478505032,37
ctgan,4.0,8.0,0.11042382310495517,0.03649487743314002,0.07409305956141993,38
ctgan,4.0,9.0,0.11172842560398757,0.0361028926590233,0.0774171649040771,39
ctgan,4.0,10.0,0.10932055597298378,0.03619296235280857,0.0715104031795735,40
ctgan,5.0,1.0,0.11344169465794782,0.03667838700213869,0.06396942361939947,41
ctgan,5.0,2.0,0.1125830556369668,0.03625354908411297,0.07110600002087614,42
ctgan,5.0,3.0,0.11628161040601655,0.03647672878946591,0.07008481391208375,43
ctgan,5.0,4.0,0.1156027731836476,0.036496532753657815,0.06879152315957265,44
ctgan,5.0,5.0,0.11467874954222479,0.0364820778715402,0.06504777328076675,45
ctgan,5.0,6.0,0.11517682860758079,0.03691600399498933,0.0666554611526354,46
ctgan,5.0,7.0,0.11225120768620786,0.03629056839830134,0.06805942630724657,47
ctgan,5.0,8.0,0.11415364141205028,0.03662511002504499,0.07349188969362394,48
ctgan,5.0,9.0,0.11327480441188094,0.036709629517867444,0.06748094058327929,49
ctgan,5.0,10.0,0.11492353530294255,0.03684564216417992,0.0702006371702717,50
ecdf,1.0,1.0,0.11166564028895401,0.0322514825004801,0.02169912518666536,1
ecdf,1.0,2.0,0.1135085389444093,0.03229462127914763,0.01766358693581929,2
ecdf,1.0,3.0,0.10926343246308985,0.03190343222564208,0.01954593026617108,3
